order_id,side,price,quantity
1,S,106.46,944
2,S,100.87,110
3,B,91.89,397
4,S,97.99,70
5,B,93.63,291
6,B,105.01,164
7,B,94.81,462
8,B,98.32,988
9,B,100.00,828
10,B,97.51,393
11,B,106.97,529
12,B,101.69,312
13,B,103.81,286
14,S,96.36,874
15,B,91.64,507
16,S,95.71,419
17,B,107.06,298
18,S,108.43,824
19,B,93.62,706
20,B,92.26,108
21,B,106.25,261
22,S,109.41,856
23,B,109.96,395
24,S,90.53,868
25,B,102.61,481
26,B,92.38,460
27,B,107.69,628
28,S,91.23,587
29,S,109.64,126
30,S,102.98,645
31,B,96.52,219
32,B,109.80,254
33,B,106.66,954
34,B,101.26,635
35,S,107.79,845
36,S,104.23,644
37,S,107.75,248
38,B,95.94,255
39,S,105.02,504
40,S,98.29,56
41,S,94.77,916
42,S,94.21,91
43,S,95.77,514
44,B,92.96,891
45,B,95.47,938
46,S,108.33,311
47,S,94.33,159
48,B,97.48,710
49,B,93.46,208
50,S,91.87,474
51,B,103.74,291
52,B,105.62,942
53,B,92.31,962
54,B,90.40,637
55,S,97.92,62
56,S,109.21,542
57,B,97.94,684
58,B,97.00,759
59,B,90.12,430
60,B,97.89,148
61,S,102.87,858
62,B,96.70,922
63,B,101.97,978
64,S,103.84,371
65,S,102.01,60
66,B,94.58,946
67,B,90.59,716
68,S,99.81,340
69,B,99.04,761
70,S,101.47,736
71,B,108.78,553
72,B,90.28,293
73,S,96.19,685
74,S,93.79,766
75,S,93.06,30
76,B,99.44,927
77,S,92.24,300
78,B,97.85,178
79,S,95.17,29
80,B,94.81,326
81,S,100.99,472
82,B,105.60,317
83,S,92.66,759
84,B,94.90,151
85,B,96.56,583
86,S,109.34,729
87,S,101.15,633
88,B,95.19,642
89,S,109.72,913
90,S,95.91,299
91,S,101.61,116
92,B,91.24,718
93,B,105.48,951
94,S,94.08,960
95,B,92.50,555
96,B,103.11,321
97,S,100.17,608
98,S,97.66,832
99,S,98.26,656
100,B,93.12,103
101,B,92.41,136
102,B,108.62,189
103,B,107.87,485
104,S,100.69,877
105,S,96.81,326
106,S,102.15,120
107,B,95.54,46
108,B,96.03,109
109,B,100.23,478
110,S,101.16,432
111,B,101.64,957
112,B,98.21,229
113,B,95.34,759
114,B,91.21,195
115,B,96.99,258
116,B,102.99,249
117,B,99.17,924
118,S,102.83,320
119,B,104.24,363
120,S,103.86,646
121,S,98.00,953
122,B,94.90,446
123,S,99.75,847
124,B,104.04,503
125,B,93.19,538
126,S,109.87,459
127,S,92.60,968
128,B,97.97,310
129,B,109.31,174
130,B,106.10,324
131,S,107.76,358
132,B,100.73,221
133,B,106.97,671
134,S,107.32,714
135,S,109.74,747
136,B,92.10,26
137,B,99.25,742
138,S,101.13,507
139,B,94.83,864
140,S,94.09,853
141,S,92.65,130
142,B,103.80,952
143,B,91.06,654
144,S,109.68,728
145,S,104.95,670
146,B,97.99,460
147,S,99.33,501
148,S,108.65,98
149,B,97.58,863
150,B,109.55,107
151,B,98.30,343
152,B,100.08,240
153,S,102.42,33
154,B,100.53,275
155,S,102.07,334
156,B,108.90,583
157,S,93.71,437
158,B,90.12,503
159,S,106.86,868
160,S,94.14,793
161,B,106.98,263
162,B,108.78,191
163,B,98.08,682
164,B,91.30,218
165,S,90.50,693
166,S,105.93,251
167,B,91.15,552
168,B,106.20,487
169,S,91.78,56
170,B,98.19,998
171,S,106.70,959
172,S,106.77,904
173,S,103.07,941
174,B,91.69,170
175,S,102.92,442
176,S,98.55,572
177,S,93.22,689
178,S,98.95,253
179,S,103.45,849
180,B,107.62,608
181,B,107.59,223
182,B,103.67,860
183,B,109.36,20
184,S,103.59,497
185,S,108.57,526
186,S,92.32,975
187,B,93.54,468
188,S,103.89,996
189,S,106.52,603
190,B,106.92,515
191,S,102.47,597
192,B,106.00,53
193,S,92.75,755
194,B,102.82,964
195,S,98.83,23
196,B,98.12,196
197,B,92.41,165
198,S,91.81,96
199,S,102.99,577
200,B,96.59,516
201,S,104.27,190
202,B,109.58,391
203,B,102.72,406
204,S,107.08,435
205,S,102.42,607
206,B,95.90,730
207,S,94.73,337
208,S,107.82,549
209,S,97.46,320
210,S,106.58,802
211,B,105.23,477
212,S,96.59,299
213,B,109.76,783
214,B,92.63,731
215,S,101.48,40
216,B,101.02,412
217,S,91.44,590
218,S,108.11,872
219,B,109.36,742
220,B,97.38,773
221,B,98.14,197
222,S,99.51,538
223,S,90.89,95
224,B,99.02,830
225,S,91.44,820
226,B,101.46,489
227,S,90.84,534
228,S,104.45,213
229,B,105.85,630
230,S,102.00,685
231,S,96.73,992
232,S,99.38,658
233,S,96.09,567
234,B,90.18,260
235,B,105.54,896
236,S,93.03,570
237,B,101.36,696
238,B,99.00,382
239,S,100.34,639
240,S,98.92,830
241,B,93.14,388
242,S,97.95,62
243,B,90.59,72
244,S,102.64,996
245,B,104.45,338
246,B,106.88,679
247,B,92.75,74
248,B,99.11,983
249,B,104.60,387
250,S,101.99,947
251,S,90.53,601
252,S,91.57,69
253,S,94.60,296
254,S,95.11,607
255,S,94.01,170
256,S,101.63,296
257,B,104.95,700
258,B,102.40,255
259,S,92.73,301
260,B,95.65,920
261,S,108.15,594
262,B,92.28,851
263,B,104.34,730
264,S,95.81,130
265,S,94.42,372
266,B,102.24,812
267,S,91.16,634
268,S,96.42,448
269,B,91.86,543
270,S,103.42,384
271,S,103.75,387
272,S,100.75,703
273,B,107.09,895
274,S,108.65,424
275,B,101.09,209
276,S,99.89,914
277,B,100.43,565
278,S,96.10,411
279,S,102.58,175
280,B,96.87,757
281,B,93.35,754
282,S,100.36,272
283,B,103.27,151
284,B,105.32,809
285,S,106.84,501
286,S,94.16,446
287,S,109.06,175
288,S,96.42,555
289,B,99.01,626
290,S,105.31,152
291,S,102.79,759
292,S,96.07,188
293,S,96.76,579
294,B,94.50,558
295,S,104.97,924
296,B,101.46,360
297,B,95.35,168
298,B,95.70,918
299,S,92.29,103
300,B,99.75,679
301,S,90.42,152
302,S,91.88,201
303,S,99.26,487
304,B,109.32,227
305,S,99.32,602
306,S,94.93,847
307,S,91.41,834
308,B,109.89,724
309,S,99.70,524
310,S,107.83,367
311,S,95.71,156
312,B,97.38,895
313,B,109.87,879
314,S,99.86,353
315,B,108.63,514
316,B,101.80,394
317,S,96.92,614
318,B,90.40,122
319,B,98.58,463
320,S,100.50,62
321,B,106.09,961
322,B,102.86,580
323,B,106.50,532
324,B,108.96,3
325,S,106.09,353
326,S,107.81,900
327,B,98.08,858
328,B,93.40,246
329,B,100.63,518
330,S,98.13,814
331,B,108.73,307
332,S,92.16,255
333,B,109.20,689
334,B,99.82,79
335,B,105.97,297
336,S,91.94,516
337,B,93.17,964
338,S,93.18,732
339,S,106.66,756
340,S,95.85,391
341,S,99.77,798
342,B,101.45,270
343,S,90.63,60
344,S,109.46,569
345,B,107.64,946
346,S,91.60,374
347,B,90.80,446
348,B,94.13,200
349,S,92.17,608
350,B,109.01,90
351,S,95.42,636
352,S,102.14,304
353,B,97.59,534
354,S,109.16,179
355,S,90.30,73
356,S,90.98,643
357,S,99.60,433
358,S,102.08,168
359,S,96.60,836
360,S,106.73,481
361,B,100.01,999
362,B,103.56,955
363,B,100.50,749
364,B,95.76,535
365,S,98.71,881
366,S,95.41,442
367,S,104.89,597
368,B,93.01,150
369,B,99.84,285
370,B,92.46,837
371,S,98.37,342
372,B,109.73,766
373,B,95.52,266
374,S,91.11,749
375,S,98.92,626
376,S,99.54,966
377,B,103.37,459
378,S,105.22,114
379,S,93.92,642
380,S,91.14,493
381,B,94.27,46
382,B,94.17,362
383,S,95.18,688
384,B,93.11,454
385,B,107.01,779
386,B,92.21,717
387,B,94.86,747
388,B,109.72,120
389,B,92.45,817
390,S,106.75,44
391,B,97.74,548
392,S,92.68,668
393,S,92.24,962
394,B,96.21,297
395,S,98.99,674
396,B,96.92,770
397,S,107.46,727
398,B,94.01,705
399,S,99.46,163
400,S,98.34,119
401,B,99.72,795
402,S,107.92,854
403,B,105.61,31
404,S,104.93,977
405,S,98.64,195
406,B,97.34,844
407,B,106.92,770
408,B,98.32,256
409,B,105.67,464
410,S,104.14,411
411,B,97.40,233
412,S,105.74,456
413,S,106.61,553
414,S,99.07,977
415,S,90.40,873
416,B,105.63,397
417,B,100.96,203
418,S,96.44,231
419,S,92.51,649
420,B,101.61,56
421,S,103.02,959
422,B,98.46,253
423,S,95.69,180
424,S,109.58,956
425,B,107.54,619
426,S,103.18,152
427,B,107.02,442
428,S,99.07,959
429,B,104.75,913
430,S,91.38,782
431,B,102.70,828
432,S,106.54,216
433,B,97.50,92
434,S,102.63,451
435,B,104.10,546
436,S,95.75,436
437,S,99.02,124
438,B,105.32,351
439,S,90.97,421
440,S,100.25,790
441,B,109.17,946
442,B,104.91,459
443,B,95.55,509
444,B,109.79,296
445,S,109.05,861
446,B,94.12,800
447,S,99.48,397
448,S,107.59,614
449,B,93.10,404
450,B,106.83,85
451,S,94.68,632
452,B,97.83,340
453,S,108.82,778
454,S,107.45,902
455,S,91.90,223
456,B,91.69,186
457,B,95.88,501
458,S,99.14,566
459,S,96.36,919
460,B,97.69,342
461,S,97.09,158
462,B,96.38,102
463,B,97.08,502
464,S,102.13,365
465,B,99.66,29
466,B,102.05,6
467,S,104.96,698
468,S,105.94,409
469,S,91.37,74
470,S,94.12,68
471,B,101.97,210
472,S,103.90,15
473,B,100.67,275
474,S,95.45,304
475,B,97.24,178
476,B,109.20,903
477,S,97.27,173
478,S,91.68,15
479,B,108.77,554
480,B,109.54,18
481,S,92.17,657
482,B,106.87,77
483,B,103.89,479
484,B,106.85,485
485,S,108.93,973
486,S,109.83,27
487,B,90.32,427
488,S,102.78,757
489,B,94.61,484
490,B,102.77,16
491,B,106.83,100
492,B,101.74,336
493,B,106.46,280
494,S,96.95,996
495,B,103.41,485
496,B,90.32,560
497,S,101.21,18
498,S,94.05,990
499,B,90.51,777
500,B,96.93,34
501,B,98.74,914
502,B,92.36,430
503,S,105.62,791
504,S,108.35,654
505,S,90.96,946
506,S,102.32,567
507,S,100.54,795
508,S,94.57,207
509,S,106.85,700
510,S,108.07,150
511,B,98.42,391
512,B,105.65,865
513,S,103.61,645
514,S,97.35,494
515,S,91.84,940
516,B,102.26,477
517,S,107.81,800
518,S,100.39,809
519,B,109.13,214
520,B,107.23,424
521,B,104.08,514
522,S,96.78,77
523,B,96.44,779
524,S,105.82,226
525,B,90.04,410
526,S,98.98,494
527,S,91.15,29
528,B,91.70,376
529,B,108.01,612
530,S,96.99,435
531,B,108.81,520
532,B,108.55,776
533,B,104.76,591
534,B,109.77,20
535,B,104.47,202
536,B,96.13,442
537,S,107.17,415
538,S,91.79,140
539,B,109.74,627
540,S,109.99,277
541,S,101.00,268
542,S,100.03,593
543,B,98.54,296
544,S,105.92,548
545,S,90.81,836
546,B,100.24,381
547,B,100.65,672
548,S,98.83,829
549,B,95.13,176
550,B,93.32,185
551,B,95.22,191
552,B,104.89,835
553,S,90.99,950
554,S,93.51,528
555,S,102.94,585
556,S,95.60,957
557,B,100.48,416
558,S,105.21,300
559,S,101.80,377
560,S,97.97,674
561,S,101.58,616
562,S,93.76,396
563,B,90.57,714
564,S,91.64,831
565,B,102.38,217
566,B,108.96,680
567,S,103.57,179
568,S,95.53,996
569,B,102.92,489
570,S,108.01,912
571,S,95.61,825
572,S,92.54,778
573,S,98.84,743
574,B,98.39,266
575,S,95.37,534
576,B,106.90,342
577,B,109.61,414
578,B,97.44,350
579,S,106.63,207
580,S,96.06,518
581,S,94.78,362
582,B,103.16,754
583,B,104.50,312
584,S,91.45,42
585,S,108.05,500
586,B,107.17,485
587,B,105.41,457
588,B,91.46,909
589,B,107.12,970
590,S,97.08,818
591,S,99.14,583
592,B,102.66,798
593,S,98.33,998
594,S,97.48,846
595,S,101.52,535
596,B,105.75,366
597,B,107.59,40
598,B,104.70,348
599,B,99.15,356
600,B,108.85,899
601,S,102.69,499
602,S,97.13,717
603,B,93.17,251
604,S,105.54,36
605,S,95.19,334
606,B,107.22,748
607,S,90.03,800
608,S,97.12,824
609,S,108.82,740
610,B,94.98,56
611,B,105.00,258
612,B,105.89,513
613,B,95.97,919
614,B,92.88,828
615,B,97.43,345
616,S,99.51,711
617,B,102.33,731
618,B,106.79,991
619,S,107.67,782
620,S,99.67,869
621,S,107.95,622
622,S,97.95,601
623,B,93.90,334
624,S,91.15,230
625,B,93.97,695
626,S,109.94,374
627,S,107.89,329
628,S,92.97,188
629,S,94.18,227
630,S,99.53,105
631,B,92.72,546
632,B,94.70,270
633,S,105.17,931
634,B,108.39,242
635,S,104.59,675
636,B,99.98,314
637,B,98.94,668
638,S,100.70,648
639,B,92.80,59
640,S,105.32,512
641,B,93.58,587
642,S,107.99,427
643,S,95.68,36
644,S,95.46,672
645,S,98.31,780
646,S,105.88,908
647,S,109.82,565
648,S,97.85,273
649,B,93.20,492
650,B,108.73,539
651,B,104.81,17
652,S,97.01,620
653,S,109.22,316
654,B,96.30,882
655,S,102.69,11
656,B,99.34,55
657,S,107.38,140
658,S,92.52,935
659,B,108.61,52
660,B,101.94,224
661,B,91.44,272
662,S,96.19,896
663,S,105.29,494
664,B,109.26,698
665,B,109.03,368
666,S,98.71,923
667,B,108.70,416
668,B,95.67,931
669,S,96.89,912
670,B,108.21,240
671,B,100.89,482
672,B,101.45,192
673,S,100.63,881
674,B,101.45,636
675,S,102.30,638
676,B,92.95,134
677,S,91.15,881
678,B,105.03,403
679,B,95.91,309
680,S,92.77,399
681,S,102.20,765
682,S,105.75,838
683,S,99.38,96
684,B,109.68,19
685,S,99.01,613
686,B,92.75,699
687,B,102.81,319
688,S,101.84,175
689,B,105.90,774
690,S,105.97,720
691,B,92.10,625
692,S,104.36,541
693,S,93.58,199
694,S,92.60,898
695,S,104.54,501
696,S,107.29,597
697,S,102.38,801
698,B,107.50,967
699,B,94.44,260
700,B,102.15,858
701,S,91.71,790
702,B,105.19,541
703,B,102.51,168
704,S,105.79,554
705,S,97.19,951
706,B,94.89,974
707,B,107.38,459
708,B,100.59,39
709,S,95.09,26
710,S,94.73,491
711,S,93.76,450
712,S,96.77,229
713,S,92.11,639
714,S,95.07,996
715,B,90.43,913
716,B,98.10,144
717,B,106.73,787
718,S,90.02,764
719,B,106.41,596
720,B,93.90,872
721,S,106.17,465
722,S,104.29,913
723,B,91.97,695
724,S,96.20,750
725,B,104.95,959
726,B,100.82,693
727,B,105.91,967
728,S,109.89,850
729,S,99.51,480
730,B,100.58,895
731,B,104.70,238
732,B,92.65,558
733,S,100.50,570
734,S,109.57,956
735,B,94.85,190
736,B,96.06,213
737,B,96.37,10
738,S,104.38,380
739,B,95.60,858
740,B,93.24,977
741,B,95.38,566
742,S,109.07,955
743,B,100.21,4
744,B,94.91,338
745,B,109.91,492
746,B,102.12,592
747,B,90.05,809
748,S,103.10,383
749,B,100.87,580
750,B,103.61,730
751,B,102.36,45
752,S,90.80,789
753,B,107.15,951
754,B,99.70,604
755,B,93.90,600
756,B,100.42,593
757,S,108.15,399
758,B,98.13,346
759,S,98.68,764
760,B,102.52,871
761,B,102.21,383
762,S,104.42,961
763,B,109.26,905
764,S,101.91,886
765,B,97.83,847
766,S,105.96,781
767,S,92.37,162
768,S,103.61,635
769,S,107.84,899
770,S,92.79,740
771,B,96.05,398
772,S,95.84,873
773,S,99.16,588
774,S,107.56,666
775,S,102.81,981
776,S,103.95,789
777,B,107.72,422
778,B,105.14,16
779,S,104.99,315
780,S,108.47,806
781,B,97.54,594
782,S,100.50,414
783,B,101.27,680
784,B,102.64,605
785,S,105.91,383
786,B,108.25,316
787,S,100.98,378
788,S,91.39,204
789,S,94.93,886
790,B,97.10,888
791,S,91.75,409
792,B,91.75,433
793,S,103.73,955
794,B,105.90,417
795,S,101.23,703
796,S,107.05,220
797,S,107.10,823
798,B,98.18,686
799,B,103.47,2
800,B,93.58,162
801,S,94.56,821
802,B,101.58,266
803,B,97.59,86
804,S,106.90,793
805,S,97.38,301
806,S,98.85,759
807,S,98.88,999
808,B,104.27,514
809,B,97.17,985
810,B,106.09,626
811,B,91.50,92
812,S,90.80,665
813,B,94.03,727
814,S,100.81,71
815,B,96.56,587
816,S,90.63,835
817,B,95.64,149
818,S,108.92,589
819,B,95.83,738
820,S,108.80,302
821,B,92.30,787
822,S,104.16,144
823,S,104.43,152
824,S,100.37,108
825,B,99.58,962
826,B,108.12,679
827,B,98.14,525
828,B,97.63,705
829,S,104.74,264
830,B,101.63,305
831,B,101.40,231
832,S,93.55,153
833,S,108.93,429
834,B,98.97,756
835,B,101.40,175
836,B,108.22,697
837,B,90.69,497
838,B,92.11,243
839,S,91.48,147
840,B,102.30,242
841,S,92.48,640
842,S,101.87,329
843,B,105.83,927
844,S,105.24,234
845,B,108.31,588
846,B,102.98,524
847,S,96.95,945
848,B,100.17,2
849,B,98.11,513
850,S,90.96,235
851,B,90.03,622
852,B,105.42,119
853,S,103.65,576
854,S,92.04,408
855,S,101.09,91
856,S,103.11,603
857,B,98.12,858
858,B,102.36,651
859,S,94.27,61
860,S,100.79,913
861,S,104.34,948
862,B,102.48,478
863,B,102.19,715
864,B,105.39,812
865,S,95.52,142
866,S,104.21,45
867,S,90.86,899
868,B,99.62,537
869,S,98.89,211
870,B,94.42,670
871,S,97.39,798
872,S,106.47,906
873,S,93.00,103
874,B,108.20,47
875,S,97.21,493
876,B,94.77,951
877,S,108.55,972
878,S,92.90,960
879,B,90.39,268
880,B,103.03,950
881,B,99.32,29
882,B,104.62,629
883,B,105.66,351
884,B,109.43,493
885,B,104.19,178
886,B,98.26,914
887,B,96.68,481
888,S,98.97,965
889,B,95.78,116
890,S,108.68,440
891,B,103.29,22
892,S,102.96,65
893,B,106.19,659
894,S,101.40,634
895,S,105.84,309
896,B,99.45,510
897,B,107.18,76
898,S,102.25,495
899,S,102.47,148
900,S,108.46,765
901,B,107.75,802
902,S,92.27,396
903,B,108.97,896
904,B,95.99,768
905,B,91.15,665
906,B,91.24,698
907,B,103.90,402
908,B,100.89,398
909,S,101.22,903
910,B,102.65,658
911,B,92.42,673
912,S,102.58,371
913,S,103.61,430
914,S,97.86,218
915,S,101.86,753
916,B,98.40,169
917,B,96.86,846
918,S,109.88,690
919,S,104.91,456
920,S,96.59,719
921,S,104.41,533
922,B,106.78,843
923,S,91.36,845
924,B,101.47,532
925,B,100.86,424
926,S,99.12,749
927,S,103.88,797
928,B,99.82,814
929,B,105.49,833
930,B,96.65,249
931,S,95.08,873
932,S,96.96,372
933,S,92.07,194
934,S,91.06,410
935,B,104.09,898
936,S,93.96,299
937,B,108.39,232
938,B,94.44,784
939,B,91.58,791
940,B,104.12,575
941,B,104.17,277
942,B,97.73,360
943,B,101.92,147
944,B,102.34,573
945,S,99.51,236
946,B,108.07,198
947,S,99.56,947
948,S,98.82,425
949,S,105.19,786
950,B,100.31,989
951,B,107.63,838
952,B,93.90,737
953,B,92.60,940
954,B,99.86,151
955,B,94.55,449
956,S,96.47,803
957,B,101.55,698
958,S,90.27,436
959,B,95.46,51
960,S,91.81,810
961,B,102.29,881
962,B,94.25,878
963,B,109.33,982
964,B,95.72,497
965,B,90.04,238
966,B,100.00,565
967,S,103.64,756
968,S,107.16,511
969,B,98.89,270
970,B,101.10,967
971,B,108.56,128
972,S,105.29,552
973,S,102.21,775
974,S,99.60,880
975,B,92.60,253
976,S,97.01,855
977,S,98.66,486
978,S,90.08,991
979,B,94.95,963
980,B,109.43,385
981,B,102.86,228
982,B,94.73,608
983,S,95.18,298
984,S,98.32,166
985,B,104.00,34
986,S,105.85,473
987,B,103.90,1000
988,B,102.85,581
989,B,99.12,600
990,B,96.24,618
991,S,91.99,44
992,B,100.43,275
993,B,106.04,968
994,B,94.22,944
995,S,102.69,37
996,S,93.68,129
997,S,90.58,356
998,S,109.22,475
999,S,92.51,503
1000,S,93.88,101
1001,B,105.65,539
1002,B,97.46,744
1003,B,104.56,631
1004,S,97.68,766
1005,S,90.99,825
1006,B,104.38,192
1007,S,99.48,818
1008,S,94.11,602
1009,S,98.65,967
1010,B,96.67,438
1011,B,103.28,122
1012,S,104.80,965
1013,S,109.17,817
1014,B,104.13,537
1015,S,105.71,563
1016,S,99.08,829
1017,B,106.02,210
1018,B,92.76,854
1019,S,104.10,659
1020,S,91.65,141
1021,S,97.63,295
1022,S,107.09,818
1023,B,94.60,880
1024,B,94.13,678
1025,S,105.50,720
1026,S,92.04,875
1027,S,90.50,298
1028,B,91.48,921
1029,S,94.95,152
1030,B,103.30,929
1031,B,92.99,639
1032,B,106.05,681
1033,B,109.56,63
1034,S,94.70,602
1035,S,94.45,992
1036,S,91.37,177
1037,B,102.32,760
1038,S,106.70,885
1039,S,102.28,486
1040,B,109.92,818
1041,B,98.93,2
1042,S,90.99,867
1043,B,98.81,71
1044,B,95.27,307
1045,S,109.72,696
1046,B,95.97,679
1047,B,102.77,887
1048,S,90.91,476
1049,B,98.14,586
1050,S,103.73,161
1051,S,98.20,261
1052,B,99.90,937
1053,B,102.33,712
1054,B,104.79,529
1055,S,108.55,942
1056,S,102.22,769
1057,B,94.33,459
1058,B,91.49,717
1059,S,104.24,915
1060,S,101.23,603
1061,B,94.05,124
1062,B,91.14,305
1063,S,101.93,989
1064,B,102.73,696
1065,S,95.98,785
1066,B,102.72,19
1067,B,97.31,356
1068,B,98.25,643
1069,B,99.97,396
1070,S,90.99,336
1071,B,94.79,387
1072,S,90.66,475
1073,S,105.87,754
1074,B,99.51,736
1075,B,105.26,215
1076,S,94.30,809
1077,S,105.00,456
1078,B,96.19,649
1079,B,90.93,963
1080,S,97.97,821
1081,B,108.27,142
1082,S,108.80,386
1083,B,107.41,497
1084,B,92.48,104
1085,S,105.72,904
1086,S,90.39,890
1087,S,98.21,723
1088,B,104.54,690
1089,B,95.85,588
1090,S,94.96,296
1091,B,98.15,784
1092,S,104.42,589
1093,S,95.49,863
1094,B,92.58,807
1095,B,105.25,984
1096,B,106.06,193
1097,S,102.97,19
1098,S,96.27,313
1099,B,106.83,905
1100,S,108.79,880
1101,B,90.44,925
1102,B,105.05,744
1103,B,102.92,140
1104,S,106.23,56
1105,S,102.23,436
1106,S,92.65,857
1107,B,94.51,909
1108,S,109.68,883
1109,S,94.13,614
1110,S,98.60,621
1111,B,93.98,763
1112,S,95.52,301
1113,B,96.16,779
1114,S,99.47,968
1115,B,105.70,327
1116,B,92.06,988
1117,B,99.03,239
1118,B,100.61,902
1119,B,94.41,83
1120,S,92.64,470
1121,S,107.15,739
1122,B,94.83,712
1123,B,91.18,429
1124,S,99.14,42
1125,B,90.11,852
1126,S,101.53,754
1127,B,90.62,550
1128,B,99.86,430
1129,B,108.21,45
1130,B,107.75,894
1131,B,98.81,466
1132,S,93.67,999
1133,S,98.53,945
1134,B,104.59,662
